VEHICLE,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,Day,Weight
201305-1,0.0,0.0,0.0,0.0,0.0,0.0,22.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.35,18.05,0.0,0.0,0.0,0.0,0.0,MON,0.867
201314-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0,0.0,0.0,0.0,0.0,0.0,17.1,0.0,20.9,0.0,0.0,0.0,0.0,0.0,0.0,WED,0.519
201314-2,0.0,0.0,0.0,0.0,0.0,0.0,32.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.3,0.0,3.8,0.0,0.0,0.0,0.0,WED,0.774
201322-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.75,0.0,0.0,0.0,0.0,42.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THU,0.632
201322-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.25,0.0,0.0,0.0,0.0,1.9,1.9,0.0,0.0,33.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THU,0.622
201329-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.18,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THU,1.158
201333-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAT,1.433
201344-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,WED,1.749
201344-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25,0.0,0.0,0.0,0.0,0.0,0.0,WED,1.686
201348-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,0.0,0.0,23.75,23.75,0.0,7.6,0.0,7.6,0.0,0.0,2.85,0.0,0.0,0.0,0.0,MON,0.261
201348-2,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.35,12.35,0.0,MON,0.54
201356-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TUE,1.329
201363-1,0.0,0.0,0.0,0.0,0.0,14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TUE,1.292
201369-1,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.38,3.33,0.0,6.47,0.0,0.0,0.0,0.0,0.0,MON,0.874
201387-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,4.75,0.0,4.75,0.0,0.0,0.0,TUE,0.492
201389-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.85,0.0,0.0,0.0,0.0,0.0,0.0,21.85,0.0,4.75,0.0,4.75,0.0,0.0,0.0,0.0,0.0,WED,0.858
201389-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WED,0.907
201403-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,2.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SAT,0.346
201424-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.25,0.0,0.0,0.0,0.0,0.0,TUE,9.145
201425-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.88,0.0,0.0,0.0,8.08,8.08,0.0,0.0,0.0,0.0,0.0,0.0,SUN,0.878
201426-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,TUE,0.502
201435-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,THU,4.033
201446-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.7,0.0,1.43,5.7,0.0,0.0,0.0,0.0,0.0,0.0,SUN,4.01
201466-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,12.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WED,0.625
201470-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.08,65.08,61.75,61.75,0.0,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,FRI,0.409
201470-3,0.0,0.0,0.0,0.0,0.0,20.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.43,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.0,FRI,1.276
201508-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.75,0.0,1.9,9.5,14.25,0.0,0.0,THU,0.312
201526-2,0.0,0.0,0.0,0.0,0.0,0.0,21.85,21.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.85,21.85,0.0,0.0,0.0,0.0,THU,1.436
201561-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.25,71.25,0.0,0.0,42.75,42.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUN,0.495
201567-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MON,1.331
201579-1,0.0,0.0,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0,0.0,0.0,0.0,4.09,0.0,0.0,0.0,20.9,9.5,0.0,0.0,0.0,0.0,0.0,MON,0.943
201579-2,0.0,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MON,0.982
201587-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0,0.0,0.0,0.0,WED,0.896
201596-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,0.0,7.6,0.0,FRI,0.114
201599-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MON,0.392
201600-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SUN,0.742
201619-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,9.5,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,THU,3.846
201621-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.65,0.0,0.0,6.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,MON,0.765
201630-2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.38,0.0,0.0,0.0,2.38,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WED,0.329
